platform,category,name,brand,seller,seller_rating,link,base_price,current_price,checked_at
Trendyol,laptop,"Ideapad Slim 3 AMD Ryzen 5-7520U 8GB 512GB SSD 15.6"" FHD Dizüstü Bilgisayar 82XQ00RWTX",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-dizustu-bilgisayar-82xq00rwtx-p-1123535609?boutiqueId=689770&merchantId=968,19499,19999.0,2026-05-15 18:45:04
Trendyol,laptop,"LOQE AMD Ryzen 7-7735HS 16GB 512GB SSD 15.6"" FHD 144Hz RTX4050 6GB FreeDOS Gaming Laptop 83S0002YTR",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/loqe-amd-ryzen-7-7735hs-16gb-512gb-ssd-15-6-fhd-144hz-rtx4050-6gb-freedos-gaming-laptop-83s0002ytr-p-1118067142?boutiqueId=689770&merchantId=968,37999,39999.0,2026-05-15 18:45:04
Trendyol,laptop,"13"" MacBook Neo Indigo 512GB",Apple,Trendyol,9.2,https://www.trendyol.com/apple/13-macbook-neo-indigo-512gb-p-1113964180?boutiqueId=690320&merchantId=968,38299,38299.0,2026-05-15 18:45:04
Trendyol,laptop,"LOQ E AMD Ryzen 5-7535HS 16GB 512GB SSD 15.6"" FHD 144 Hz RTX 3050 6GB GDDR6 Gaming Laptop 83S0002VTR",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/loq-e-amd-ryzen-5-7535hs-16gb-512gb-ssd-15-6-fhd-144-hz-rtx-3050-6gb-gddr6-gaming-laptop-83s0002vtr-p-1123120617?boutiqueId=689770&merchantId=968,34999,37499.0,2026-05-15 18:45:04
Trendyol,laptop,"Victus AMD Ryzen 5-8645HS 16GB 512GB RTX3050 6GB Freedos 15.6"" FHD IPS 144Hz Gaming Laptop B9KM2EA",HP,Trendyol,9.2,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-p-929697232?boutiqueId=689770&merchantId=968,34999,36999.0,2026-05-15 18:45:04
Trendyol,laptop,"Aspire Lite Intel Celeron-N4500 8GB 256GB SSD 15.6"" FHD DOS (İşletim Sistemsiz) Laptop NX.J9SEY.001",ACER,Trendyol,9.2,https://www.trendyol.com/acer/aspire-lite-intel-celeron-n4500-8gb-256gb-ssd-15-6-fhd-dos-isletim-sistemsiz-laptop-nx-j9sey-001-p-1033173108?boutiqueId=689770&merchantId=968,11999,12376.51,2026-05-15 18:45:04
Trendyol,laptop,"13"" MacBook Neo Indigo 256GB",Apple,Trendyol,9.2,https://www.trendyol.com/apple/13-macbook-neo-indigo-256gb-p-1113964092?boutiqueId=690320&merchantId=968,34199,34199.0,2026-05-15 18:45:04
Trendyol,laptop,"Ideapad Slim 3/Intel N100 İşlemci/8 GB RAM/128 GB SSD/15.6"" FHD/W11/Laptop Gri 82XB00HMTX",LENOVO,MediaMarkt,9.1,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-islemci-8-gb-ram-128-gb-ssd-15-6-fhd-w11-laptop-gri-82xb00hmtx-p-1105373343?boutiqueId=61&merchantId=275331,13000,15099.0,2026-05-15 18:45:04
Trendyol,laptop,"Tulpar T6 V3.3.4 Intel Core i7 13700HX 16GB RAM 1TB SSD RTX 5060 FreeDOS 16"" FHD+ 165 Hz",MONSTER,Trendyol,9.2,https://www.trendyol.com/monster/tulpar-t6-v3-3-4-intel-core-i7-13700hx-16gb-ram-1tb-ssd-rtx-5060-freedos-16-fhd-165-hz-p-937114208?boutiqueId=689770&merchantId=968,54999,54999.0,2026-05-15 18:45:04
Trendyol,laptop,"13"" MacBook Neo Gümüş 256GB",Apple,Trendyol,9.2,https://www.trendyol.com/apple/13-macbook-neo-gumus-256gb-p-1113964090?boutiqueId=690320&merchantId=968,33999,33999.0,2026-05-15 18:45:04
Trendyol,laptop,"Ideapad Slim 3 AMD Ryzen 5-7520U 8GB 512GB SSD 15.6"" FHD Dizüstü Bilgisayar 82XQ00RWTX",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-dizustu-bilgisayar-82xq00rwtx-p-1123535609?boutiqueId=689770&merchantId=968,19499,19999.0,2026-05-15 18:46:58
Trendyol,laptop,"LOQE AMD Ryzen 7-7735HS 16GB 512GB SSD 15.6"" FHD 144Hz RTX4050 6GB FreeDOS Gaming Laptop 83S0002YTR",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/loqe-amd-ryzen-7-7735hs-16gb-512gb-ssd-15-6-fhd-144hz-rtx4050-6gb-freedos-gaming-laptop-83s0002ytr-p-1118067142?boutiqueId=689770&merchantId=968,37999,39999.0,2026-05-15 18:46:58
Trendyol,laptop,"13"" MacBook Neo Indigo 512GB",Apple,Trendyol,9.2,https://www.trendyol.com/apple/13-macbook-neo-indigo-512gb-p-1113964180?boutiqueId=690320&merchantId=968,38299,38299.0,2026-05-15 18:46:58
Trendyol,laptop,"LOQ E AMD Ryzen 5-7535HS 16GB 512GB SSD 15.6"" FHD 144 Hz RTX 3050 6GB GDDR6 Gaming Laptop 83S0002VTR",LENOVO,Trendyol,9.2,https://www.trendyol.com/lenovo/loq-e-amd-ryzen-5-7535hs-16gb-512gb-ssd-15-6-fhd-144-hz-rtx-3050-6gb-gddr6-gaming-laptop-83s0002vtr-p-1123120617?boutiqueId=689770&merchantId=968,34999,37499.0,2026-05-15 18:46:58
Trendyol,laptop,"Victus AMD Ryzen 5-8645HS 16GB 512GB RTX3050 6GB Freedos 15.6"" FHD IPS 144Hz Gaming Laptop B9KM2EA",HP,Trendyol,9.2,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-p-929697232?boutiqueId=689770&merchantId=968,34999,36999.0,2026-05-15 18:46:58
Trendyol,laptop,"Aspire Lite Intel Celeron-N4500 8GB 256GB SSD 15.6"" FHD DOS (İşletim Sistemsiz) Laptop NX.J9SEY.001",ACER,Trendyol,9.2,https://www.trendyol.com/acer/aspire-lite-intel-celeron-n4500-8gb-256gb-ssd-15-6-fhd-dos-isletim-sistemsiz-laptop-nx-j9sey-001-p-1033173108?boutiqueId=689770&merchantId=968,11999,12376.51,2026-05-15 18:46:58
Trendyol,laptop,"13"" MacBook Neo Indigo 256GB",Apple,Trendyol,9.2,https://www.trendyol.com/apple/13-macbook-neo-indigo-256gb-p-1113964092?boutiqueId=690320&merchantId=968,34199,34199.0,2026-05-15 18:46:58
Trendyol,laptop,"Ideapad Slim 3/Intel N100 İşlemci/8 GB RAM/128 GB SSD/15.6"" FHD/W11/Laptop Gri 82XB00HMTX",LENOVO,MediaMarkt,9.1,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-islemci-8-gb-ram-128-gb-ssd-15-6-fhd-w11-laptop-gri-82xb00hmtx-p-1105373343?boutiqueId=61&merchantId=275331,13000,15099.0,2026-05-15 18:46:58
Trendyol,laptop,"Tulpar T6 V3.3.4 Intel Core i7 13700HX 16GB RAM 1TB SSD RTX 5060 FreeDOS 16"" FHD+ 165 Hz",MONSTER,Trendyol,9.2,https://www.trendyol.com/monster/tulpar-t6-v3-3-4-intel-core-i7-13700hx-16gb-ram-1tb-ssd-rtx-5060-freedos-16-fhd-165-hz-p-937114208?boutiqueId=689770&merchantId=968,54999,54999.0,2026-05-15 18:46:58
